Country Name,Population,Average_Household_Size,Kwh_per_capita,Carbon_Intensity_gCO2_per_kWh
Low income,716865783.0,0,183.71287258549,0.0
Liechtenstein,39493.0,2.26,1.0,0.0
Sri Lanka,22181000.0,0,684.05392002164,509.78137
Lower middle income,3041203716.5,0,904.682454355844,0.0
Low & middle income,6568731933.5,0,2325.97484979525,0.0
Lesotho,2286110.0,3.73,1.0,20.833334
Late-demographic dividend,2324072105.5,0,5205.79196499329,0.0
Lithuania,2831639.0,2.38,4416.1702815931,180.69307
Luxembourg,653103.0,2.41,11629.0998510189,141.66666
Latvia,1879383.0,2.26,3696.42590147937,135.18886
"Macao SAR, China",677300.0,0,1.0,0.0
St. Martin (French part),28870.0,0,1.0,0.0
Morocco,37329064.0,4.58,978.27258674367,662.6419
Monaco,38931.0,2.13,1.0,0.0
Moldova,2528654.0,0,2255.74554684034,647.27954
Madagascar,30437261.0,4.5,81.3148068743768,477.2727
Maldives,524106.0,5.4,1.0,611.76465
Middle East & North Africa,498070255.0,0,3158.62577173245,0.0
Mexico,128613117.0,3.74,2351.59528868272,472.58563
Marshall Islands,40077.0,0,1.0,0.0
Middle income,5851866150.5,0,2539.29965110628,0.0
North Macedonia,1831712.0,0,3479.25874810014,624.5791
Mali,23072640.0,5.81,1.0,391.70508
Malta,531511.0,2.67,5170.16581030308,500.0
Myanmar,53756787.0,4.22,354.132028017225,563.871
Middle East & North Africa (excluding high income),432229148.0,0,1774.50714289671,0.0
Montenegro,617213.0,3.29,4390.70466759449,483.3837
Mongolia,3433748.0,3.63,2545.61487913499,781.9355
Northern Mariana Islands,46078.0,0,1.0,0.0
Mozambique,32656246.0,4.52,397.718709002866,127.81187
Mauritania,4875637.0,5.77,1.0,481.70734
Mauritius,1262523.0,3.48,2334.2149014315,615.38464
Malawi,20568728.0,4.28,1.0,54.64481
Malaysia,34695493.0,4.57,4986.12312555985,604.0407
North America,372275216.0,0,13163.9581215753,384.04166
Namibia,2889662.0,4.24,1230.93981233791,45.454544
New Caledonia,287123.0,..,1.0,585.7605
Niger,25311973.0,5.92,62.4210526773239,696.2025
Nigeria,223150896.0,4.66,135.603309430584,497.3684
Nicaragua,6730654.0,4.92,682.400254120922,289.35184
Netherlands,17700982.0,2.23,6365.46605154448,326.07062
Norway,5457127.0,2.22,23373.4710590389,29.638288
Nepal,29715436.0,4.25,321.045264151601,23.364487
Nauru,11801.0,0,1.0,750.0
New Zealand,5117200.0,2.6,8099.15578832174,112.836914
OECD members,1378506989.0,0,7741.41523050341,0.0
Oman,4730226.0,8.02,8157.53835017608,547.3708
Other small states,14217718.0,0,1.0,0.0
Pakistan,243700667.0,6.8,605.788247596384,436.58423
Panama,4400773.0,3.64,2546.37083076087,168.97958
Peru,33475438.0,3.46,1588.44822284327,287.81302
Philippines,113964338.0,4.23,884.680258485773,602.6722
Palau,17759.0,..,1.0,0.0
Papua New Guinea,10203169.0,5.43,1.0,529.41174
Poland,36821749.0,2.82,4596.71266565855,732.9787
Pre-demographic dividend,1051201551.0,0,248.842629649776,0.0
Puerto Rico,3220113.0,2.67,1.0,660.804
"Korea, Dem. People's Rep.",26328845.0,0,829.774340651859,0.0
Portugal,10434332.0,2.58,5085.23209727273,225.33994
Paraguay,6760464.0,3.87,2213.01378130259,24.71095
West Bank and Gaza,5043612.0,0,1.0,0.0
Pacific island small states,2656049.0,0,1.0,0.0
Post-demographic dividend,1117561802.0,0,8850.3603244363,0.0
French Polynesia,280378.0,..,1.0,436.61972
Qatar,2657333.0,4.67,19381.0862244213,602.7322
Romania,19048502.0,2.67,2717.53652859422,297.77127
Russian Federation,144236933.0,2.58,7184.42203703818,0.0
Rwanda,13651030.0,4.28,68.1267274337541,288.46155
South Asia,1932289074.0,0,955.633738487598,0.0
Saudi Arabia,32175224.0,0,11835.3177587823,700.11957
Sudan,49383346.0,5.89,278.81869324934,204.41
Senegal,17651103.0,8.66,399.521774928173,526.6667
Singapore,5637022.0,2.95,10143.4764668295,504.21646
Solomon Islands,781066.0,0,1.0,636.36365
Sierra Leone,8276807.0,5.29,1.0,50.0
El Salvador,6280319.0,3.92,1109.9754646221,112.95181
San Marino,33755.0,0,1.0,0.0
Somalia,17801897.0,6.16,1.0,523.8095
Serbia,6664449.0,2.85,5113.70107266182,710.67737
Sub-Saharan Africa (excluding high income),1229088695.0,0,383.029601800076,0.0
South Sudan,11021177.0,5.98,46.909690317105,611.1111
Sub-Saharan Africa,1229208573.0,0,383.029601800076,0.0
Small states,20005272.0,0,1.0,0.0
Sao Tome and Principe,226305.0,4.06,1.0,555.55554
Suriname,623164.0,3.86,2955.88320249565,374.40762
Slovak Republic,5431752.0,0,4957.70057248564,0.0
Slovenia,2112076.0,2.47,6730.81839858035,257.48505
Sweden,10486941.0,0,12418.3973191038,41.028603
Eswatini,1218917.0,4.04,1137.07496080537,127.27273
Sint Maarten (Dutch part),42139.0,2.58,1.0,0.0
Seychelles,119878.0,..,1.0,564.5161
Syrian Arab Republic,22462173.0,5.65,689.514767783153,0.0
Turks and Caicos Islands,45847.0,2.37,1.0,653.8462
Chad,18455316.0,5.97,14.467376229158,615.38464
East Asia & Pacific (IDA & IBRD countries),2107261123.0,0,4669.96737332248,0.0
Europe & Central Asia (IDA & IBRD countries),461440170.5,0,4545.18800662971,0.0
Togo,9089738.0,4.35,191.864716012717,477.7778
Thailand,71735329.0,2.84,2867.4155798463,561.1244
Tajikistan,10182222.0,5.99,1475.70932945677,86.55189
Turkmenistan,7230193.0,5.22,2829.2467434825,1306.1351
Latin America & the Caribbean (IDA & IBRD countries),637837815.0,0,2275.81646318341,0.0
Timor-Leste,1369295.0,5.27,1.0,0.0
Middle East & North Africa (IDA & IBRD countries),427185536.0,0,1774.50714289671,0.0
Tonga,105042.0,5.3,1.0,625.0
South Asia (IDA & IBRD),1932289074.0,0,955.633738487598,0.0
Sub-Saharan Africa (IDA & IBRD countries),1229208573.0,0,383.029601800076,0.0
Trinidad and Tobago,1365805.0,..,6590.98480383364,682.1053
Tunisia,12119334.0,3.89,1595.4672096668,565.62354
Turkiye,84979913.0,0,3554.2281621305,0.0
Tuvalu,9992.0,6.05,1.0,0.0
Tanzania,64711821.0,0,123.470486172843,349.27234
Uganda,47312719.0,4.87,89.8701256209773,57.391308
Ukraine,41048766.0,2.53,2440.39004729156,256.21008
Upper middle income,2810662434.0,0,4285.68532159951,0.0
Uruguay,3390913.0,3.02,3589.8886229166,110.363396
United States,333271411.0,2.6,12997.1874485207,410.3674
Uzbekistan,34938955.0,5.22,2094.05232640759,1121.3534
St. Vincent and the Grenadines,102046.0,0,1.0,0.0
"Venezuela, RB",28213017.0,0,1989.22362681028,0.0
British Virgin Islands,38319.0,0,1.0,647.05884
Virgin Islands (U.S.),105413.0,0,1.0,0.0
Viet Nam,99680655.0,3.44,2624.40089303185,0.0
Vanuatu,313046.0,5.08,1.0,500.0
World,7989981519.5,0,3485.93775865081,489.7454
Samoa,215261.0,6.6,1.0,375.0
Kosovo,1768096.0,0,1.0,945.00726
"Yemen, Rep.",38222876.0,0,53.9729140214357,0.0
South Africa,62378410.0,3.36,3357.92464091342,729.72516
Zambia,20152938.0,5,703.966836001778,111.96713
Zimbabwe,16069056.0,4.02,538.799541180266,297.53918
